tweet,replyCount,retweetCount,likeCount,quoteCount,hashtags,sourceLabel,emotion
"وقتی یه کار یا رفتار اشتباه انجام میدیم،چندش و غیر قابل تحمل نیستیم (چون ممکنه برای همه پیش بیاد) ، اما اگر اون کار اشتبار رو توجیح کنیم ، چندش و غیر قابل تحمل میشیم.
#سخنان_بیخوابی",0,0,2,0,['سخنان_بیخوابی'],Twitter for Android,disgust
" تو و رهبرت و همفکرانت فقط بایدمثل یک سوسک فاضلاب چندش، له و لورده شوید 🤮🤮🤮
#نه_به_جمهوری‌_اسلامی 
#KhameneiVirus 
#IranRegimeChange",0,0,0,0,"['نه_به_جمهوری\u200c_اسلامی', 'KhameneiVirus', 'IranRegimeChange']",Twitter for Android,disgust
"تا حالا فکر می کردم چندش آورترین پدیدهٔ جهان، اول نتانیاهوی به قهقرا رفته و دوم جاستین ترودو هستش.
الآن فهمیدم که نه بابا! بیخودی به این دو تا لقب دادم.
طویله ای به نام سازمان ملل از همه چندش آورتره. 🤢🤮🤮🤮🤮

#سازمان_ملل_متفرق",0,0,0,0,['سازمان_ملل_متفرق'],Twitter for Android,disgust
"  وای وای چقدر چندش، چقدر حال بهم زن، خدا به خانواده اش کمک کنه
#به_داد_اساتید_دانشگاه_آزاد_برسید 
#در_دانشگاه_آزاد_چه_خبر_است 
#اصلاح_اساسنامه_لغو_بخشنامه",1,27,21,0,"['به_داد_اساتید_دانشگاه_آزاد_برسید', 'در_دانشگاه_آزاد_چه_خبر_است', 'اصلاح_اساسنامه_لغو_بخشنامه']",Twitter Web App,disgust
"#فکت
حسن ریوندی جزو چندش ترین و بیمزه ترین آدمای دنیاس",1,0,5,0,['فکت'],Twitter for Android,disgust
"یه سری از پسرای تایم‌لاین به شدت چندش و بی چشم و رو هستن :)
و همچنین اونایی که باهاشون اینتراکشن دارن!
#هوایی",5,0,30,0,['هوایی'],Twitter for Android,disgust
"  علی اصغر رمضانپور اون کریه المنظر چندش معاون مطبوعاتی وزارت ارشاد خاتمی روباه سردبیر این شبکه هست توقع داشتید اخبار جعلی حکومت اسلامی را پخش نکنه؟ این عوضی ها وابسته به کفتارهای کاسه لیس اسهال طلبها هستند 

#No2IR
#No2IslamicRepublic",0,5,5,0,"['No2IR', 'No2IslamicRepublic']",Twitter for Android,disgust
"ولی اینکه یه کسی تو زندگیتون‌ هست که وقتی عکس میگیرید اولین نفر برای اون میفرستید یا اگه عکس های جدیدتون رو نفرستید ممکنه دخور بشه خودش به اندازه کافی چندش رواعصاب و حال بهمزن هست 

لطفا حال مارم بد نکنید مرسی اه....

#نامزد های رو اعصاب🤮",0,0,2,0,['نامزد'],Twitter for Android,disgust
 #چندش_نجومی,0,0,0,0,['چندش_نجومی'],Twitter for Android,disgust
" #جمهوري_اسلامي 
علف هرزیست درخاک حاصلخیزماان راریشه کن خواهیم کرد مرتیکه چندش اور۸درصدم رای نداده این ملت رژیم خونخوارتون تودهنی محکمی ازملت ایران خورده

#نه_به_جمهوري_اسلامي 

#No2IR 

#مرگ_بر_کلیت_و_تمامیت_جمهوری_اسلامی",0,0,0,0,"['جمهوري_اسلامي', 'نه_به_جمهوري_اسلامي', 'No2IR', 'مرگ_بر_کلیت_و_تمامیت_جمهوری_اسلامی']",Twitter for Android,disgust
